Megan Keller,Ice Hockey,MI,21,71,F,0,0,0
Amanda Kessel,Ice Hockey,WI,26,65,F,0,1,0
Hilary Knight,Ice Hockey,ID,28,71,F,0,2,0
Jocelyne Lamoureux-Davidson,Ice Hockey,ND,28,66,F,0,2,0
Monique Lamoureux-Morando,Ice Hockey,ND,28,66,F,0,2,0
Gigi Marvin,Ice Hockey,MN,30,68,F,0,2,0
Sidney Morin,Ice Hockey,MN,22,65,F,0,0,0
Kelly Pannek,Ice Hockey,MN,22,68,F,0,0,0
Amanda Pelkey,Ice Hockey,VT,24,63,F,0,0,0
Emily Pfalzer,Ice Hockey,NY,24,63,F,0,0,0
Alex Rigsby,Ice Hockey,WI,26,67,F,0,0,0
Maddie Rooney,Ice Hockey,MN,20,65,F,0,0,0
Haley Skarupa,Ice Hockey,MD,24,66,F,0,0,0
Lee Stecklein,Ice Hockey,MN,23,72,F,0,1,0
Mark Arcobello,Ice Hockey,CT,29,68,M,0,0,0
Chad Billins,Ice Hockey,MI,28,70,M,0,0,0
Jonathan Blum,Ice Hockey,CA,29,73,M,0,0,0
Will Borgen,Ice Hockey,MI,21,74,M,0,0,0
Chris Bourque,Ice Hockey,MA,32,68,M,0,0,0
Bobby Butler,Ice Hockey,MA,30,72,M,0,0,0
Ryan Donato,Ice Hockey,MA,21,73,M,0,0,0
Matt Gilroy,Ice Hockey,NY,33,73,M,0,0,0
Brian Gionta,Ice Hockey,NY,39,67,M,0,0,0
Jordan Greenway,Ice Hockey,NY,20,77,M,0,0,0
Ryan Gunderson,Ice Hockey,PA,32,69,M,0,0,0
Chad Kolarik,Ice Hockey,PA,32,71,M,0,0,0
David Leggio,Ice Hockey,NY,33,72,M,0,0,0
Broc Little,Ice Hockey,NH,29,69,M,0,0,0
Brandon Maxwell,Ice Hockey,FL,26,73,M,0,0,0
John McCarthy,Ice Hockey,MA,31,73,M,0,0,0
Brian O'Neill,Ice Hockey,PA,29,69,M,0,0,0
Garrett Roe,Ice Hockey,VA,29,69,M,0,0,0
Bobby Sanguinetti,Ice Hockey,NC,29,74,M,0,0,0
Jim Slater,Ice Hockey,MI,35,72,M,0,0,0
Ryan Stoa,Ice Hockey,MN,30,75,M,0,0,0
Troy Terry,Ice Hockey,CO,20,72,M,0,0,0
Noah Welch,Ice Hockey,MA,35,76,M,0,0,0
James Wisniewski,Ice Hockey,MI,33,72,M,0,0,0
Ryan Zapolski,Ice Hockey,PA,31,72,M,0,0,0
Summer Britcher,Luge,PA,23,70,F,0,0,0
Erin Hamlin,Luge,NY,31,67,F,0,0,1
Emily Sweeney,Luge,CT,24,65,F,0,0,0
Justin Krewson,Luge,NY,21,74,M,0,0,0
Chris Mazdzer,Luge,NY,29,73,M,0,0,0
Taylor Morris,Luge,UT,26,71,M,0,0,0
Matt Mortensen,Luge,NY,32,72,M,0,0,0
Andrew Sherk,Luge,PA,25,68,M,0,0,0
Jayson Terdiman,Luge,PA,29,67,M,0,0,0
Tucker West,Luge,CT,22,73,M,0,0,0
Ben Berend,Nordic Combined,CO,22,69,M,0,0,0
Taylor Fletcher,Nordic Combined,CO,27,72,M,0,0,0
Bryan Fletcher,Nordic Combined,CO,31,69,M,0,0,0
Jasper Good,Nordic Combined,CO,21,74,M,0,0,0
Ben Loomis,Nordic Combined,WI,19,73,M,0,0,0
Katie Uhlaender,Skeleton,CO,33,64,F,0,0,0
Kendall Wesenberg,Skeleton,CA,27,68,F,0,0,0
Matt Antoine,Skeleton,WI,32,75,M,0,0,1
John Daly,Skeleton,NY,32,69,M,0,0,0
Nita Englund,Ski Jumping,WI,25,67,F,0,0,0
Sarah Hendrickson,Ski Jumping,UT,23,64,F,0,0,0
Abby Ringquist,Ski Jumping,UT,28,68,F,0,0,0
Kevin Bickner,Ski Jumping,IL,21,72,M,0,0,0
Michael Glasder,Ski Jumping,IL,28,72,M,0,0,0
Casey Larson,Ski Jumping,IL,19,70,M,0,0,0
Will Rhoads,Ski Jumping,UT,22,74,M,0,0,0
Jamie Anderson,Snowboarding,CA,27,62,F,1,0,0
Kelly Clark,Snowboarding,CA,34,64,F,1,0,2
Arielle Gold,Snowboarding,CO,21,64,F,0,0,0
Faye Gulini,Snowboarding,UT,25,64,F,0,0,0
Lindsey Jacobellis,Snowboarding,CT,32,67,F,0,1,0
Jessika Jenson,Snowboarding,ID,36,65,F,0,0,0
Chloe Kim,Snowboarding,CA,17,63,F,0,0,0
Hailey Langland,Snowboarding,CA,17,62,F,0,0,0
Rosie Mancari,Snowboarding,AK,24,68,F,0,0,0
Julia Marino,Snowboarding,CT,20,65,F,0,0,0
Maddie Mastro,Snowboarding,CA,17,64,F,0,0,0
Meghan Tierney,Snowboarding,CO,21,69,F,0,0,0
Nick Baumgartner,Snowboarding,MI,36,72,M,0,0,0
Jonathan Cheever,Snowboarding,MA,32,70,M,0,0,0
Chris Corning,Snowboarding,CO,18,68,M,0,0,0
Mick Dierdorff,Snowboarding,CO,26,69,M,0,0,0
Ben Ferguson,Snowboarding,OR,23,69,M,0,0,0
Red Gerard,Snowboarding,CO,17,65,M,0,0,0
Chase Josey,Snowboarding,ID,22,71,M,0,0,0
Hagen Kearney,Snowboarding,CO,26,74,M,0,0,0
Kyle Mack,Snowboarding,MI,20,71,M,0,0,0
AJ Muss,Snowboarding,NJ,23,73,M,0,0,0
Jake Pates,Snowboarding,CO,19,67,M,0,0,0
Ryan Stassel,Snowboarding,AK,25,71,M,0,0,0
Mike Trapp,Snowboarding,MA,29,68,M,0,0,0
Shaun White,Snowboarding,CA,31,69,M,2,0,0
Heather Bergsma,Long Track Speedskating,NC,28,71,F,0,0,0
Brittany Bowe,Long Track Speedskating,FL,29,67,F,0,0,0
Erin Jackson,Long Track Speedskating,FL,25,64,F,0,0,0
Mia Manganello,Long Track Speedskating,FL,28,67,F,0,0,0
Carlijn Schoutens,Long Track Speedskating,UT,23,69,F,0,0,0
Jerica Tandiman,Long Track Speedskating,UT,23,63,F,0,0,0
Shani Davis,Long Track Speedskating,IL,35,74,M,2,2,0
Jonathan Garcia,Long Track Speedskating,TX,31,67,M,0,0,0
Kimani Griffin,Long Track Speedskating,NC,27,73,M,0,0,0
